date,close,volume,label
2023-05-23,171.56,49178496,0
2023-05-24,171.84,43490928,1
2023-05-25,172.99001,55920324,1
2023-05-26,175.42999,54834976,1
2023-05-30,177.3,55769852,1
2023-05-31,177.25,99314872,-1
2023-06-01,180.09,65296428,1
2023-06-02,180.95,61996912,1
2023-06-05,179.58,121323992,-1
2023-06-06,179.21001,64342720,-1
2023-06-07,177.82001,61944616,-1
2023-06-08,180.57001,50214880,1
2023-06-09,180.96001,48899972,1
2023-06-12,183.78999,53565380,1
2023-06-13,183.31,54648548,-1
2023-06-14,183.95,56522808,1
2023-06-15,186.00999,65278560,1
2023-06-16,184.92,101256224,-1
2023-06-20,185.00999,48964548,1
2023-06-21,183.96001,49358728,-1
2023-06-22,187,50844684,1
2023-06-23,186.67999,53116996,-1
2023-06-26,185.27,47504500,-1
2023-06-27,188.06,49726580,1
2023-06-28,189.25,50900576,1
2023-06-29,189.59,45451648,1
2023-06-30,193.97,85213216,1
2023-07-03,192.46001,31458198,-1
2023-07-05,191.33,46585296,-1
2023-07-06,191.81,44995624,1
2023-07-07,190.67999,46815000,-1
2023-07-10,188.61,59095880,-1
2023-07-11,188.08,46416508,-1
2023-07-12,189.77,59771148,1
2023-07-13,190.53999,41342336,1
2023-07-14,190.69,41616240,1
2023-07-17,193.99001,49842864,1
2023-07-18,193.73,48204488,-1
2023-07-19,195.10001,80507320,1
2023-07-20,193.13,59581196,-1
2023-07-21,191.94,71951680,-1
2023-07-24,192.75,44861352,1
2023-07-25,193.62,37283200,1
2023-07-26,194.5,47471868,1
2023-07-27,193.22,47460180,-1
2023-07-28,195.83,48291444,1
2023-07-31,196.45,38586820,1
2023-08-01,195.605,34728056,-1
2023-08-02,192.58,48896616,-1
2023-08-03,191.17,52602668,-1
2023-08-04,181.99001,115956840,-1
2023-08-07,178.85001,97576072,-1
2023-08-08,179.8,67602768,1
2023-08-09,178.19,57796844,-1
2023-08-10,177.97,52604356,-1
2023-08-11,177.78999,52036672,-1
2023-08-14,179.46001,43675628,1
2023-08-15,177.45,43372424,-1
2023-08-16,176.57001,45598920,-1
2023-08-17,174,61247068,-1
2023-08-18,174.49001,61114200,1
2023-08-21,175.84,46311900,1
2023-08-22,177.23,42084200,1
2023-08-23,181.12,52722800,1
2023-08-24,176.38,54945800,-1
2023-08-25,178.61,51449600,1
2023-08-28,180.19,43820700,1
2023-08-29,184.12,53003900,1
2023-08-30,187.64999,60813900,1
2023-08-31,187.87,60794500,1
2023-09-01,189.46001,45732600,1
2023-09-05,189.7,45280000,1
2023-09-06,182.91,81755800,-1
2023-09-07,177.56,112488800,-1
2023-09-08,178.17999,65551300,1
2023-09-11,179.36,58953100,1
2023-09-12,176.3,90370200,-1
2023-09-13,174.21001,84267900,-1
2023-09-14,175.74001,60895800,1
2023-09-15,175.00999,109205100,-1
2023-09-18,177.97,67257600,1
2023-09-19,179.07001,51826900,1
2023-09-20,175.49001,58436200,-1
2023-09-21,173.92999,63047900,-1
2023-09-22,174.78999,56725400,1
2023-09-25,176.08,46172700,1
2023-09-26,171.96001,64588900,-1
2023-09-27,170.42999,66921800,-1
2023-09-28,170.69,56294400,1
2023-09-29,171.21001,51814200,1
2023-10-02,173.75,52164500,1
2023-10-03,172.39999,49594600,-1
2023-10-04,173.66,53020300,1
2023-10-05,174.91,48527900,1
2023-10-06,177.49001,57224100,1
2023-10-09,178.99001,42390800,1
2023-10-10,178.39,43698000,-1
2023-10-11,179.8,47551100,1
2023-10-12,180.71001,56743100,1
2023-10-13,178.85001,51427100,-1
