,date,close,volume,label,bb_normalized,obv_norm
0,2023-05-23,171.56,49178496,0,0.0,0.0
1,2023-05-24,171.84,43490928,1,0.0,1.0
2,2023-05-25,172.99001,55920324,1,0.0,1.77773025778606
3,2023-05-26,175.42999,54834976,1,0.0,2.812916850734101
4,2023-05-30,177.3,55769852,1,0.0,3.7657636244040957
5,2023-05-31,177.25,99314872,-1,0.0,1.1146488513825
6,2023-06-01,180.09,65296428,1,0.0,2.695363917916
7,2023-06-02,180.95,61996912,1,0.0,3.8388129395864103
8,2023-06-05,179.58,121323992,-1,0.0,0.96164455254654
9,2023-06-06,179.21001,64342720,-1,0.0,0.8132673906232127
10,2023-06-07,177.82001,61944616,-1,0.0,-0.1552480364072319
11,2023-06-08,180.57001,50214880,1,0.0,0.8084874443591222
12,2023-06-09,180.96001,48899972,1,0.0,1.8302274692509026
13,2023-06-12,183.78999,53565380,1,0.0,2.6708193239738054
14,2023-06-13,183.31,54648548,-1,0.0,1.6178820341210163
15,2023-06-14,183.95,56522808,1,0.0,2.564234105283658
16,2023-06-15,186.00999,65278560,1,0.0,3.2202957908385232
17,2023-06-16,184.92,101256224,-1,0.0,1.0760824737055177
18,2023-06-20,185.00999,48964548,1,0.0,3.2252844649970016
19,2023-06-21,183.96001,49358728,-1,0.0,2.199527264965175
20,2023-06-22,187.0,50844684,1,0.886494739374248,3.135245210689086
21,2023-06-23,186.67999,53116996,-1,0.8492218993991842,2.001121373655995
22,2023-06-26,185.27,47504500,-1,0.7442199065734114,1.2375470955383174
23,2023-06-27,188.06,49726580,1,0.9152310988000792,2.1822461146533705
24,2023-06-28,189.25,50900576,1,0.9505612403309589,3.1319137135108255
25,2023-06-29,189.59,45451648,1,0.9316529567612255,4.507380238445919
26,2023-06-30,193.97,85213216,1,1.1066612027528866,3.4041794174274562
27,2023-07-03,192.46001,31458198,-1,0.942145415121148,8.221159965996781
28,2023-07-05,191.33,46585296,-1,0.8383534802153105,4.5515988993608625
29,2023-07-06,191.81,44995624,1,0.8349906195346318,5.7124045218263895
